biomarker_id,gene_name,species,condition,trait,effect,class,evidence,source,rank
BM001,HSP70,Crassostrea gigas,Thermal Stress,Thermotolerance,Upregulated,Genomic Feature,Species-specific,"Arredondo-Espinoza et al. 2023 (https://doi.org/10.1016/j.cbd.2023.101089)",3
BM002,HSP90,Crassostrea gigas,Thermal Stress,Thermotolerance,Upregulated,Genomic Feature,Cross-species,"Arredondo-Espinoza et al. 2023 (https://doi.org/10.1016/j.cbd.2023.101089)",4
BM003,HSPA5,Crassostrea virginica,Perkinsus marinus Infection,Infection Tolerance,Upregulated,Genomic Feature,Species-specific,"Proestou et al. 2023 (https://doi.org/10.3389/fgene.2023.1054558)",3
BM004,SOD1,Crassostrea virginica,Perkinsus marinus Infection,Infection Tolerance,Upregulated,Genomic Feature,Cross-species,"Proestou et al. 2023 (https://doi.org/10.3389/fgene.2023.1054558); Chan et al. 2021 (https://doi.org/10.3389/fgene.2021.795706)",5
BM005,CAT,Crassostrea virginica,Perkinsus marinus Infection,Infection Sensitivity,Downregulated,Genomic Feature,Species-specific,"Johnson et al. 2020 (https://doi.org/10.3389/fmars.2020.00598)",2
BM006,IL-17,Crassostrea gigas,Perkinsus marinus Infection,Infection Tolerance,Upregulated,Protein Interaction Network,Cross-species,"Chan et al. 2021 (https://doi.org/10.3389/fgene.2021.795706)",4
BM007,TLR,Crassostrea virginica,Perkinsus marinus Infection,Infection Sensitivity,Downregulated,Protein Interaction Network,Species-specific,"Sullivan and Proestou 2021 (https://doi.org/10.1016/j.aquaculture.2021.736831)",3
BM008,DNMT3,Crassostrea virginica,Ocean Acidification,Resilience,Upregulated,Genomic Feature,Species-specific,"Roberts et al. unpublished (https://github.com/sr320/ceasmallr)",2
BM009,NF-kB,Crassostrea virginica,Perkinsus marinus Infection,Infection Sensitivity,Upregulated,Protein Interaction Network,Cross-species,"Johnson et al. 2020 (https://doi.org/10.3389/fmars.2020.00598); Proestou and Sullivan 2020 (https://doi.org/10.1016/j.fsi.2019.12.001)",4
BM010,TIMP,Crassostrea virginica,Perkinsus marinus Infection,Infection Tolerance,Upregulated,Ontology Enrichment,Species-specific,"Proestou and Sullivan 2020 (https://doi.org/10.1016/j.fsi.2019.12.001)",2
BM011,MMP,Crassostrea virginica,Perkinsus marinus Infection,Infection Sensitivity,Upregulated,Ontology Enrichment,Cross-species,"Sullivan and Proestou 2021 (https://doi.org/10.1016/j.aquaculture.2021.736831); Proestou and Sullivan 2020 (https://doi.org/10.1016/j.fsi.2019.12.001)",4
BM012,PRDX,Crassostrea gigas,Thermal Stress,Thermotolerance,Upregulated,Genomic Feature,Cross-species,"Arredondo-Espinoza et al. 2023 (https://doi.org/10.1016/j.cbd.2023.101089)",3
BM013,GPx,Crassostrea virginica,Ocean Acidification,Resilience,Upregulated,Genomic Feature,Species-specific,"Roberts et al. unpublished (https://github.com/sr320/ceasmallr)",2
BM014,CLEC,Crassostrea virginica,Perkinsus marinus Infection,Infection Tolerance,Upregulated,Protein Interaction Network,Cross-species,"Chan et al. 2021 (https://doi.org/10.3389/fgene.2021.795706); Proestou et al. 2023 (https://doi.org/10.3389/fgene.2023.1054558)",5
BM016,FTH1,Crassostrea gigas,Thermal Stress,Thermotolerance,Upregulated,Ontology Enrichment,Species-specific,"Arredondo-Espinoza et al. 2023 (https://doi.org/10.1016/j.cbd.2023.101089)",2
